time(s),voltage_0,voltage_1
0.0,0.0,2016.0
8.3333335E-4,0.0,2016.0
0.0016666667,0.0,2016.0
0.0025,0.0,2018.0
0.0033333334,1.0,2016.0
0.004166667,0.0,2018.0
0.005,1.0,2016.0
0.0058333334,0.0,2018.0
0.006666667,1.0,2016.0
0.0075,0.0,2018.0
0.008333334,1.0,2016.0
0.009166666,0.0,2018.0
0.01,1.0,2016.0
0.010833333,0.0,2018.0
0.011666667,1.0,2016.0
0.0125,0.0,2016.0
0.013333334,2.0,2017.0
0.014166667,0.0,2018.0
0.015,1.0,2016.0
0.015833333,0.0,2018.0
0.016666668,1.0,2016.0
0.0175,0.0,2016.0
0.018333333,2.0,2017.0
0.019166667,0.0,2016.0
0.02,2.0,2017.0
0.020833334,0.0,2018.0
0.021666666,1.0,2016.0
0.0225,0.0,2018.0
0.023333333,1.0,2016.0
0.024166666,0.0,2018.0
0.025,1.0,2016.0
0.025833333,0.0,2018.0
0.026666667,1.0,2016.0
0.0275,0.0,2018.0
0.028333334,1.0,2016.0
0.029166667,0.0,2018.0
0.03,1.0,2016.0
0.030833334,0.0,2018.0
0.031666666,1.0,2016.0
0.0325,0.0,2018.0
0.033333335,1.0,2016.0
0.034166668,0.0,2018.0
0.035,1.0,2016.0
0.035833333,0.0,2018.0
0.036666665,1.0,2016.0
0.0375,0.0,2018.0
0.038333334,1.0,2016.0
0.039166667,0.0,2018.0
0.04,1.0,2016.0
0.04083333,2320.0,4082.0
0.041666668,2307.0,3987.0
0.0425,2307.0,3777.0
0.043333333,2322.0,3585.0
0.044166666,2321.0,3426.0
0.045,2321.0,3264.0
0.045833334,2323.0,3139.0
0.046666667,2323.0,3027.0
0.0475,2336.0,2914.0
0.048333332,2339.0,2819.0
0.04916667,2338.0,2739.0
0.05,2339.0,2673.0
0.050833333,2339.0,2595.0
0.051666666,2339.0,2547.0
0.0525,2352.0,2496.0
0.053333335,2352.0,2448.0
0.054166667,2352.0,2402.0
0.055,2353.0,2368.0
0.055833332,2352.0,2336.0
0.05666667,2352.0,2306.0
0.0575,2353.0,2274.0
0.058333334,2355.0,2259.0
0.059166666,2353.0,2240.0
0.06,2352.0,2210.0
0.060833335,2354.0,2195.0
0.061666667,2355.0,2177.0
0.0625,2353.0,2176.0
0.06333333,2352.0,2160.0
0.064166665,2353.0,2146.0
0.065,2355.0,2145.0
0.06583333,2354.0,2131.0
0.06666667,2355.0,2129.0
0.0675,2354.0,2115.0
0.068333335,2355.0,2113.0
0.06916667,2354.0,2113.0
0.07,2352.0,2096.0
0.07083333,2354.0,2099.0
0.071666665,2355.0,2097.0
0.0725,2354.0,2097.0
0.07333333,2352.0,2096.0
0.07416666,2354.0,2083.0
0.075,2355.0,2081.0
0.075833336,2354.0,2081.0
0.07666667,2354.0,2081.0
0.0775,2354.0,2083.0
0.07833333,2353.0,2080.0
0.079166666,2354.0,2081.0
0.08,2352.0,2080.0
0.08083333,2354.0,2081.0
0.08166666,2352.0,2080.0
0.0825,2354.0,2067.0
0.083333336,2355.0,2081.0
0.08416667,2354.0,2067.0
0.085,2355.0,2065.0
0.08583333,2354.0,2067.0
0.086666666,2355.0,2065.0
0.0875,2354.0,2067.0
0.08833333,2355.0,2065.0
0.08916666,2354.0,2067.0
0.09,2355.0,2065.0
0.090833336,2354.0,2067.0
0.09166667,2355.0,2065.0
0.0925,2354.0,2065.0
0.093333334,2354.0,2065.0
0.094166666,2354.0,2065.0
0.095,2354.0,2065.0
0.09583333,2354.0,2067.0
0.096666664,2355.0,2065.0
0.0975,2354.0,2065.0
0.09833334,2354.0,2065.0
0.09916667,2354.0,2065.0
0.1,2354.0,2065.0
0.100833334,2355.0,2065.0
0.10166667,2354.0,2065.0
0.1025,2354.0,2065.0
0.10333333,2354.0,2065.0
0.104166664,2354.0,2065.0
0.105,2354.0,2065.0
0.10583334,2354.0,2065.0
0.10666667,2354.0,2065.0
0.1075,2354.0,2065.0
0.108333334,2354.0,2065.0
0.10916667,2354.0,2065.0
0.11,2354.0,2065.0
0.11083333,2354.0,2065.0
0.111666664,2354.0,2065.0
0.1125,2354.0,2065.0
0.11333334,2354.0,2065.0
0.11416667,2354.0,2065.0
0.115,2354.0,2065.0
0.115833335,2353.0,2064.0
0.11666667,2354.0,2065.0
0.1175,2354.0,2065.0
0.11833333,2354.0,2067.0
0.119166665,2354.0,2065.0
0.12,2354.0,2065.0
0.12083333,2352.0,0.0
0.12166667,16.0,98.0
0.1225,17.0,306.0
0.123333335,19.0,499.0
0.12416667,16.0,674.0
0.125,1.0,818.0
0.12583333,3.0,961.0
0.12666667,0.0,1072.0
0.1275,3.0,1171.0
0.12833333,3.0,1267.0
0.12916666,1.0,1346.0
0.13,3.0,1427.0
0.13083333,0.0,1490.0
0.13166666,3.0,1553.0
0.1325,0.0,1600.0
0.13333334,2.0,1649.0
0.13416667,0.0,1696.0
0.135,0.0,1728.0
0.13583334,0.0,1760.0
0.13666667,2.0,1793.0
0.1375,0.0,1810.0
0.13833334,3.0,1841.0
0.13916667,0.0,1856.0
0.14,2.0,1873.0
0.14083333,0.0,1890.0
0.14166667,3.0,1905.0
0.1425,0.0,1922.0
0.14333333,1.0,1936.0
0.14416666,0.0,1938.0
0.145,3.0,1953.0
0.14583333,0.0,1954.0
0.14666666,3.0,1969.0
0.1475,0.0,1968.0
0.14833333,2.0,1985.0
0.14916667,0.0,1984.0
0.15,0.0,1984.0
0.15083334,0.0,1986.0
0.15166667,3.0,1985.0
0.1525,0.0,2000.0
0.15333334,0.0,2000.0
0.15416667,0.0,2000.0
0.155,2.0,2001.0
0.15583333,0.0,2002.0
0.15666667,3.0,2001.0
0.1575,0.0,2016.0
0.15833333,0.0,2016.0
0.15916666,0.0,2016.0
0.16,0.0,2016.0
0.16083333,0.0,2016.0
0.16166666,0.0,2016.0
0.1625,0.0,2016.0
0.16333333,0.0,2016.0
0.16416667,0.0,2018.0
0.165,1.0,2016.0
0.16583334,0.0,2018.0
0.16666667,1.0,2016.0
0.1675,0.0,2018.0
0.16833334,1.0,2016.0
0.16916667,0.0,2018.0
0.17,1.0,2016.0
0.17083333,0.0,2018.0
0.17166667,1.0,2016.0
0.1725,0.0,2016.0
0.17333333,2.0,2017.0
0.17416666,0.0,2016.0
0.175,2.0,2017.0
0.17583333,0.0,2018.0
0.17666666,1.0,2016.0
0.1775,0.0,2018.0
0.17833333,1.0,2016.0
0.17916666,0.0,2018.0
0.18,1.0,2016.0
0.18083334,0.0,2018.0
0.18166667,1.0,2016.0
0.1825,0.0,2018.0
0.18333334,1.0,2016.0
0.18416667,0.0,2018.0
0.185,1.0,2016.0
0.18583333,0.0,2018.0
0.18666667,1.0,2016.0
0.1875,0.0,2018.0
0.18833333,1.0,2016.0
0.18916667,0.0,2016.0
0.19,2.0,2017.0
0.19083333,0.0,2018.0
0.19166666,1.0,2016.0
0.1925,0.0,2016.0
0.19333333,2.0,2017.0
0.19416666,0.0,2016.0
0.195,2.0,2017.0
0.19583334,0.0,2016.0
0.19666667,2.0,2017.0
0.1975,0.0,2016.0
0.19833334,2.0,2017.0
0.19916667,0.0,2016.0
0.2,2.0,2017.0
0.20083334,0.0,4082.0
0.20166667,2307.0,4067.0
0.2025,2307.0,3841.0
0.20333333,2306.0,3651.0
0.20416667,2320.0,3472.0
0.205,2322.0,3313.0
0.20583333,2323.0,3185.0
0.20666666,2320.0,3058.0
0.2075,2337.0,2944.0
0.20833333,2338.0,2851.0
0.20916666,2337.0,2768.0
0.21,2336.0,2688.0
0.21083333,2339.0,2625.0
0.21166667,2336.0,2562.0
0.2125,2339.0,2499.0
0.21333334,2339.0,2451.0
0.21416667,2352.0,2418.0
0.215,2353.0,2368.0
0.21583334,2352.0,2338.0
0.21666667,2355.0,2305.0
0.2175,2353.0,2290.0
0.21833333,2353.0,2258.0
0.21916667,2353.0,2242.0
0.22,2353.0,2226.0
0.22083333,2353.0,2208.0
0.22166666,2352.0,2194.0
0.2225,2354.0,2179.0
0.22333333,2353.0,2160.0
0.22416666,2354.0,2161.0
0.225,2352.0,2146.0
0.22583333,2354.0,2131.0
0.22666667,2355.0,2129.0
0.2275,2354.0,2115.0
0.22833334,2355.0,2113.0
0.22916667,2354.0,2113.0
0.23,2352.0,2098.0
0.23083334,2353.0,2098.0
0.23166667,2355.0,2097.0
0.2325,2354.0,2099.0
0.23333333,2353.0,2098.0
0.23416667,2354.0,2083.0
0.235,2355.0,2083.0
0.23583333,2353.0,2080.0
0.23666666,2354.0,2083.0
0.2375,2353.0,2082.0
0.23833333,2353.0,2082.0
0.23916666,2353.0,2080.0
0.24,2352.0,2082.0
0.24083333,2353.0,2080.0
0.24166666,2352.0,2066.0
0.2425,2353.0,2066.0
0.24333334,2355.0,2065.0
0.24416667,2352.0,2066.0
0.245,2355.0,2065.0
0.24583334,2352.0,2066.0
0.24666667,2355.0,2065.0
0.2475,2352.0,2066.0
0.24833333,2355.0,2065.0
0.24916667,2352.0,2066.0
0.25,2355.0,2065.0
0.25083333,2352.0,2066.0
0.25166667,2355.0,2065.0
0.2525,2352.0,2066.0
0.25333333,2355.0,2065.0
0.25416666,2352.0,2066.0
0.255,2355.0,2065.0
0.25583333,2352.0,2066.0
0.25666666,2355.0,2065.0
0.2575,2352.0,2066.0
0.25833333,2355.0,2065.0
0.25916666,2352.0,2066.0
0.26,2355.0,2065.0
0.26083332,2352.0,2066.0
0.26166666,2355.0,2065.0
0.2625,2352.0,2066.0
0.26333332,2355.0,2065.0
0.26416665,2353.0,2066.0
0.265,2355.0,2067.0
0.26583335,2353.0,2066.0
0.26666668,2355.0,2067.0
0.2675,2353.0,2066.0
0.26833335,2355.0,2067.0
0.26916668,2353.0,2066.0
0.27,2355.0,2067.0
0.27083334,2353.0,2066.0
0.27166668,2355.0,2067.0
0.2725,2353.0,2066.0
0.27333334,2355.0,2065.0
0.27416667,2353.0,2066.0
0.275,2355.0,2065.0
0.27583334,2354.0,2067.0
0.27666667,2355.0,2067.0
0.2775,2354.0,2067.0
0.27833334,2355.0,2065.0
0.27916667,2354.0,2067.0
0.28,2355.0,2065.0
0.28083333,2354.0,1.0
0.28166667,32.0,32.0
0.2825,18.0,257.0
0.28333333,16.0,450.0
0.28416666,16.0,626.0
0.285,1.0,770.0
0.28583333,3.0,913.0
0.28666666,2.0,1043.0
0.2875,2.0,1139.0
0.28833333,3.0,1249.0
0.28916666,1.0,1330.0
0.29,1.0,1410.0
0.29083332,1.0,1474.0
0.29166666,1.0,1536.0
0.2925,0.0,1584.0
0.29333332,2.0,1633.0
0.29416665,0.0,1682.0
0.295,1.0,1712.0
0.29583332,0.0,1744.0
0.29666665,2.0,1777.0
0.2975,0.0,1808.0
0.29833335,0.0,1824.0
0.29916668,0.0,1842.0
0.3,3.0,1873.0
0.30083334,0.0,1888.0
0.30166668,0.0,1904.0
0.3025,0.0,1906.0
0.30333334,3.0,1921.0
0.30416667,0.0,1936.0
0.305,0.0,1936.0
0.30583334,0.0,1954.0
0.30666667,1.0,1952.0
0.3075,0.0,1968.0
0.30833334,0.0,1968.0
0.30916667,0.0,1970.0
0.31,3.0,1985.0
0.31083333,0.0,1986.0
0.31166667,1.0,1984.0
0.3125,0.0,1986.0
0.31333333,3.0,2001.0
0.31416667,0.0,2000.0
0.315,0.0,2000.0
0.31583333,0.0,2000.0
0.31666666,2.0,2001.0
0.3175,0.0,2000.0
0.31833333,2.0,2001.0
0.31916666,0.0,2002.0
0.32,3.0,2001.0
0.32083333,0.0,2016.0
0.32166666,0.0,2016.0
0.3225,0.0,2016.0
0.32333332,0.0,2016.0
0.32416666,0.0,2016.0
0.325,0.0,2016.0
0.32583332,0.0,2016.0
0.32666665,0.0,2016.0
0.3275,0.0,2018.0
0.32833335,1.0,2016.0
0.32916668,0.0,2018.0
0.33,1.0,2016.0
0.33083335,0.0,2018.0
0.33166668,1.0,2016.0
0.3325,0.0,2018.0
0.33333334,1.0,2016.0
0.33416668,0.0,2018.0
0.335,1.0,2016.0
0.33583334,0.0,2018.0
0.33666667,1.0,2016.0
0.3375,0.0,2018.0
0.33833334,1.0,2016.0
0.33916667,0.0,2018.0
0.34,1.0,2016.0
0.34083334,0.0,2018.0
0.34166667,1.0,2016.0
0.3425,0.0,2018.0
0.34333333,1.0,2016.0
0.34416667,0.0,2018.0
0.345,1.0,2016.0
0.34583333,0.0,2018.0
0.34666666,1.0,2016.0
0.3475,0.0,2018.0
0.34833333,1.0,2016.0
0.34916666,0.0,2018.0
0.35,1.0,2016.0
0.35083333,0.0,2018.0
0.35166666,1.0,2016.0
0.3525,0.0,2018.0
0.35333332,1.0,2016.0
0.35416666,0.0,2018.0
0.355,1.0,2016.0
0.35583332,0.0,2018.0
0.35666665,1.0,2016.0
0.3575,0.0,2018.0
0.35833332,1.0,2016.0
0.35916665,0.0,2018.0
0.36,1.0,2016.0
0.36083335,0.0,2018.0
0.36166668,2305.0,4080.0
0.3625,2306.0,3905.0
0.36333334,2306.0,3699.0
0.36416668,2320.0,3520.0
0.365,2322.0,3361.0
0.36583334,2322.0,3219.0
0.36666667,2323.0,3091.0
0.3675,2336.0,2978.0
0.36833334,2339.0,2883.0
0.36916667,2337.0,2786.0
0.37,2339.0,2705.0
0.37083334,2339.0,2641.0
0.37166667,2338.0,2579.0
0.3725,2352.0,2528.0
0.37333333,2352.0,2464.0
0.37416667,2352.0,2432.0
0.375,2352.0,2384.0
0.37583333,2352.0,2354.0
0.37666667,2353.0,2320.0
0.3775,2353.0,2290.0
0.37833333,2355.0,2273.0
0.37916666,2353.0,2242.0
0.38,2355.0,2227.0
0.38083333,2353.0,2210.0
0.38166666,2353.0,2192.0
0.3825,2353.0,2176.0
0.38333333,2354.0,2163.0
0.38416666,2353.0,2160.0
0.385,2352.0,2146.0
0.38583332,2354.0,2145.0
0.38666666,2352.0,2130.0
0.3875,2353.0,2128.0
0.38833332,2352.0,2114.0
0.38916665,2353.0,2114.0
0.39,2353.0,2098.0
0.39083335,2353.0,2096.0
0.39166668,2354.0,2099.0
0.3925,2353.0,2098.0
0.39333335,2353.0,2096.0
0.39416668,2353.0,2082.0
0.395,2355.0,2081.0
0.39583334,2352.0,2080.0
0.39666668,2354.0,2081.0
0.3975,2352.0,2082.0
0.39833334,2353.0,2080.0
0.39916667,2352.0,2080.0
0.4,2352.0,2080.0
0.40083334,2352.0,2080.0
0.40166667,2352.0,2080.0
0.4025,2352.0,2066.0
0.40333334,2355.0,2065.0
0.40416667,2352.0,2066.0
0.405,2355.0,2065.0
0.40583333,2352.0,2066.0
0.40666667,2355.0,2065.0
0.4075,2353.0,2066.0
0.40833333,2355.0,2067.0
0.40916666,2352.0,2066.0
0.41,2355.0,2067.0
0.41083333,2353.0,2066.0
0.41166666,2355.0,2067.0
0.4125,2353.0,2066.0
0.41333333,2355.0,2083.0
0.41416666,2353.0,2066.0
0.415,2355.0,2067.0
0.41583332,2353.0,2066.0
0.41666666,2355.0,2067.0
0.4175,2353.0,2066.0
0.41833332,2355.0,2067.0
0.41916665,2354.0,2067.0
0.42,2355.0,2067.0
0.42083332,2354.0,2067.0
0.42166665,2355.0,2067.0
0.4225,2353.0,2066.0
0.42333335,2355.0,2065.0
0.42416668,2354.0,2067.0
0.425,2355.0,2065.0
0.42583334,2353.0,2066.0
0.42666668,2355.0,2065.0
0.4275,2354.0,2067.0
0.42833334,2355.0,2065.0
0.42916667,2354.0,2067.0
0.43,2355.0,2065.0
0.43083334,2354.0,2067.0
0.43166667,2355.0,2065.0
0.4325,2354.0,2067.0
0.43333334,2355.0,2065.0
0.43416667,2354.0,2067.0
0.435,2355.0,2065.0
0.43583333,2354.0,2065.0
0.43666667,2354.0,2065.0
0.4375,2354.0,2067.0
0.43833333,2355.0,2065.0
0.43916667,2354.0,2065.0
0.44,2354.0,2065.0
0.44083333,2354.0,2067.0
0.44166666,35.0,1.0
0.4425,18.0,179.0
0.44333333,19.0,387.0
0.44416666,16.0,562.0
0.445,19.0,737.0
0.44583333,3.0,881.0
0.44666666,0.0,994.0
0.4475,2.0,1121.0
0.44833332,0.0,1216.0
0.44916666,1.0,1298.0
0.45,3.0,1379.0
0.45083332,0.0,1456.0
0.45166665,0.0,1520.0
0.4525,0.0,1568.0
0.45333335,2.0,1617.0
0.45416668,0.0,1666.0
0.455,1.0,1696.0
0.45583335,0.0,1744.0
0.45666668,0.0,1776.0
0.4575,0.0,1792.0
0.45833334,2.0,1825.0
0.45916668,0.0,1840.0
0.46,2.0,1857.0
0.46083334,0.0,1874.0
0.46166667,3.0,1889.0
0.4625,0.0,1904.0
0.46333334,2.0,1921.0
0.46416667,0.0,1936.0
0.465,0.0,1936.0
0.46583334,0.0,1952.0
0.46666667,0.0,1952.0
0.4675,0.0,1968.0
0.46833333,0.0,1968.0
0.46916667,0.0,1970.0
0.47,3.0,1985.0
0.47083333,0.0,1986.0
0.47166666,1.0,1984.0
0.4725,0.0,1986.0
0.47333333,3.0,1985.0
0.47416666,0.0,2000.0
0.475,0.0,2000.0
0.47583333,0.0,2000.0
0.47666666,2.0,2001.0
0.4775,0.0,2002.0
0.47833332,3.0,2001.0
0.47916666,0.0,2016.0
0.48,0.0,2000.0
0.48083332,0.0,2016.0
0.48166665,0.0,2016.0
0.4825,0.0,2016.0
0.48333332,0.0,2016.0
0.48416665,0.0,2016.0
0.485,0.0,2016.0
0.48583335,0.0,2018.0
0.48666668,1.0,2016.0
0.4875,0.0,2018.0
0.48833334,1.0,2016.0
0.48916668,0.0,2018.0
0.49,1.0,2016.0
0.49083334,0.0,2018.0
0.49166667,1.0,2016.0
0.4925,0.0,2018.0
0.49333334,1.0,2016.0
0.49416667,0.0,2016.0
0.495,2.0,2017.0
0.49583334,0.0,2016.0
0.49666667,2.0,2017.0
0.4975,0.0,2016.0
0.49833333,2.0,2017.0
0.49916667,0.0,2016.0
